% Model,ghost_cell_flux.mph
% Version,COMSOL 5.3.1.275
% Date,"Sep 27 2019, 15:21"
% Table,time_to_equilibrium_3 {tbl21} - Pressure {gev28} (sw1(t))
% K_ads (m^3/kg),Pressurization cycles index,t (h),p_in (Pa),alpha (1),c_in (ug/m^3),j_ck (ug/(m^2*s)),m_ads (g),c_ads (mol/kg),c_ads_vol (ug/m^3),c_ads/c_gas (1),alpha_ck (1),n_ck (ug/s),c_gas (ug/m^3),c_liq (ug/m^3),u_ck (cm/h),Pe (1)
5.28E-4,3,17,15,6.627119606452793E-7,1.6312725598937734,0.1702086303057257,0.002164564385659571,1.4518934109189806E-7,27851.58418805413,0.7708799999999992,0.014677814758268343,0.06801536867016644,36129.597587243334,192851.80810888746,-4.369946873484467,-0.207837685791133
5.28E-4,3,18,15,6.592117745633024E-7,1.6226568145185254,0.16935370465790606,0.0021542437570779907,1.4449707928007986E-7,27718.788020050135,0.7708799999999992,0.014607831035209358,0.06767374038129773,35957.33190645772,191932.29197161552,-4.369946873484466,-0.2078376857911329
5.28E-4,3,19,15,6.567121607791162E-7,1.6165039885268158,0.16859776609129984,0.0021450626747405773,1.4388125315639845E-7,27600.654464240008,0.7708799999999993,0.014545574524512892,0.06737166733008189,35804.08684132425,191114.30367757502,-4.369946873484465,-0.20783768579113288
5.28E-4,3,20,15,6.54078186194323E-7,1.6100204319912628,0.16787835489686628,0.0021363090162517086,1.4329409672133793E-7,27488.02059759625,0.7708799999999992,0.014486216355909543,0.06708419061678624,35657.9760761678,190334.3967002955,-4.369946873484467,-0.207837685791133
5.28E-4,3,21,15,6.513621662907468E-7,1.6033349200283955,0.16719534620841908,0.0021279827716405206,1.427356093060979E-7,27380.886291823143,0.7708799999999995,0.01442975646178736,0.06681126034488276,35518.9994445609,189592.570151424,-4.369946873484466,-0.2078376857911329
5.28E-4,3,22,15,6.486461689292234E-7,1.596649463553032,0.16656205137001656,0.0021202433699649974,1.42216484702016E-7,27281.30293049692,0.7708799999999993,0.014377275923492543,0.06655819572745711,35389.81803976871,188903.0283587684,-4.369946873484466,-0.2078376857911329
5.28E-4,3,23,15,6.459301715677002E-7,1.5899640070776686,0.16592875653161435,0.002112503968289469,1.4169736009793417E-7,27181.719569170633,0.7708799999999992,0.01432479538519772,0.0663051311100316,35260.636634976414,188213.486566113,-4.369946873484465,-0.20783768579113288
5.28E-4,3,24,15,6.43604831707746E-7,1.5842401582093353,0.1653341126474026,0.0021052215305575194,1.4120888660051853E-7,27088.015991245487,0.7708799999999993,0.014275413499065658,0.06606751141390058,35139.08259553431,187564.65796422362,-4.369946873484465,-0.20783768579113288
5.28E-4,3,25,15,6.418167503203938E-7,1.5798387768019373,0.1647926241551403,0.0020985675403771245,1.407625665666478E-7,27002.398686940043,0.7708799999999993,0.014230293087809603,0.06585113261239257,35028.01822195419,186971.82088073035,-4.369946873484465,-0.20783768579113288
5.28E-4,3,26,15,6.399885226932376E-7,1.5753385749970448,0.16426204457234986,0.0020920440992423417,1.403250031814761E-7,26918.461165300625,0.7708799999999995,0.014186057923821317,0.06563911301110952,34919.13289396617,186390.61506108867,-4.369946873484465,-0.20783768579113288
5.28E-4,3,27,15,6.380442060306292E-7,1.570552618793132,0.1637630097814131,0.002085898160779244,1.399127609946598E-7,26839.38099394901,0.7708799999999995,0.014144382588647784,0.06543969870865118,34816.54861190973,185843.04283224326,-4.369946873484466,-0.2078376857911329
5.28E-4,3,28,15,6.360998974748489E-7,1.5657666825442635,0.16328073612902416,0.002079954118867142,1.3951406112952375E-7,26762.89863803988,0.7708799999999995,0.014104076305000494,0.06524698215715657,34717.33426478814,185313.45857140154,-4.369946873484467,-0.207837685791133
5.28E-4,3,29,15,6.341556030636752E-7,1.560980781112495,0.16282770692402343,0.002074362341393824,1.3913898959445527E-7,26690.948890510645,0.7708799999999995,0.014066158710833944,0.06506595168683828,34623.99970230206,184815.25930164687,-4.369946873484464,-0.20783768579113288
5.28E-4,3,30,15,6.322113086525015E-7,1.5561948796807261,0.16237467771902322,0.0020687705639205025,1.3876391805938726E-7,26618.999142981364,0.7708799999999993,0.014028241116667374,0.0648849212165202,34530.665139816,184317.0600318924,-4.369946873484466,-0.2078376857911329
5.28E-4,3,31,15,6.302670142413276E-7,1.5514089782489573,0.16192164851402335,0.0020631787864471827,1.383888465243186E-7,26547.049395452104,0.7708799999999993,0.013990323522500818,0.06470389074620228,34437.33057732996,183818.86076213798,-4.369946873484467,-0.207837685791133
5.28E-4,3,32,15,6.287099954013778E-7,1.5475763597666006,0.1615069588028946,0.002058049404056274,1.3804479039252674E-7,26481.04931412415,0.7708799999999992,0.013955541408807691,0.06453818073763522,34351.71403347363,183361.858570324,-4.369946873484467,-0.207837685791133
5.28E-4,3,33,15,6.274344959750072E-7,1.5444367043235743,0.1611201389411272,0.002053256147158721,1.3772328006220298E-7,26419.37418036439,0.7708799999999993,0.01392303854712465,0.06438360752087298,34271.707892751634,182934.8034706707,-4.369946873484465,-0.20783768579113288
5.28E-4,3,34,15,6.261589965486366E-7,1.541297048880548,0.16073331907936061,0.0020484628902611665,1.3740176973187946E-7,26357.699046604615,0.7708799999999993,0.01389053568544163,0.06422903430411105,34191.70175202962,182507.74837101772,-4.369946873484466,-0.2078376857911329
5.28E-4,3,35,15,6.248104836466863E-7,1.5379776699885894,0.16036638842563158,0.002043911658781594,1.3709649338895646E-7,26299.138068907472,0.7708799999999992,0.013859673987345838,0.06408240881488093,34115.73535298292,182102.25651973695,-4.369946873484467,-0.207837685791133
5.28E-4,3,36,15,6.2342262423275E-7,1.534561439237691,0.1600101759435312,0.0020394908533081005,1.3679996544178865E-7,26242.25529071905,0.7708799999999992,0.013829696702192196,0.06394006630703361,34041.94594582687,181708.38497010342,-4.369946873484466,-0.2078376857911329
5.28E-4,3,37,15,6.220347663153523E-7,1.5311452121705387,0.1596568622655629,0.0020351054930318534,1.3650581500062965E-7,26185.828588081782,0.7708799999999992,0.013799959769343518,0.0637988821613175,33968.74816843317,181317.67140940463,-4.369946873484467,-0.207837685791133
5.28E-4,3,38,15,6.206469240071207E-7,1.5277290235255148,0.1593337836289121,0.0020310898324505965,1.3623646236889273E-7,26134.15883434727,0.7708799999999992,0.013772729753671902,0.06366977993811183,33901.721194410624,180959.8962334949,-4.369946873484466,-0.2078376857911329
5.28E-4,3,39,15,6.19259081698889E-7,1.5243128348804906,0.15901070499226153,0.0020270741718693406,1.3596710973715574E-7,26082.489080612773,0.7708799999999993,0.01374549973800027,0.06354067771490628,33834.69422038805,180602.12105758535,-4.369946873484466,-0.2078376857911329
5.28E-4,3,40,15,6.178712393906572E-7,1.5208966462354663,0.1586876263556108,0.002023058511288084,1.3569775710541904E-7,26030.81932687826,0.7708799999999993,0.013718269722328645,0.06341157549170064,33767.667246365534,180244.34588167604,-4.369946873484464,-0.20783768579113288
5.28E-4,3,41,15,6.164833970824255E-7,1.5174804575904424,0.1583645477189602,0.0020190428507068283,1.3542840447368223E-7,25979.14957314376,0.7708799999999992,0.013691039706657008,0.06328247326849507,33700.64027234299,179886.57070576632,-4.369946873484465,-0.20783768579113288
5.28E-4,3,42,15,6.150955547741936E-7,1.514064268945418,0.15804146908230968,0.002015027190125568,1.3515905184194514E-7,25927.479819409207,0.7708799999999992,0.013663809690985374,0.06315337104528952,33633.61329832039,179528.79552985672,-4.369946873484465,-0.20783768579113288
5.28E-4,3,43,15,6.141713327546343E-7,1.5117892865861309,0.15776431608868982,0.0020115736492482723,1.3492740369706635E-7,25883.042894766022,0.7708799999999993,0.013640391384007347,0.06304262070903903,33575.968885904476,179221.1023944725,-4.369946873484465,-0.20783768579113288
5.28E-4,3,44,15,6.13265009617582E-7,1.5095583625170517,0.15748893613587178,0.0020081418099978936,1.3469721120069313E-7,25838.885206302213,0.7708799999999992,0.013617120234795565,0.06293257887989294,33518.68670389973,178915.3427649787,-4.369946873484465,-0.20783768579113288
5.28E-4,3,45,15,6.123586864805298E-7,1.5073274384479727,0.15721355618305455,0.002004709970747513,1.3446701870431964E-7,25794.727517838397,0.7708799999999992,0.013593849085583766,0.06282253705074718,33461.40452189501,178609.5831354851,-4.369946873484465,-0.20783768579113288
5.28E-4,3,46,15,6.114523633434776E-7,1.5050965143788932,0.15693817623023656,0.002001278131497137,1.3423682620794637E-7,25750.56982937463,0.7708799999999995,0.01357057793637197,0.06271249522160112,33404.12233989032,178303.82350599125,-4.369946873484465,-0.20783768579113288
5.28E-4,3,47,15,6.104659237514102E-7,1.5026683828012386,0.15668465616111893,0.001998115588727951,1.3402469692046712E-7,25709.87719543504,0.7708799999999993,0.013549132874613231,0.06261118860198171,33351.33509162912,178022.0568395433,-4.369946873484465,-0.20783768579113288
5.28E-4,3,48,15,6.094788469860516E-7,1.5002386828147312,0.15643130994560103,0.0019949551876976266,1.3381271129129446E-7,25669.212119382217,0.7708799999999992,0.013527702335890415,0.06250995145426076,33298.58359197571,177740.48099126416,-4.369946873484467,-0.207837685791133
