% Model,ghost_cell_flux.mph
% Version,COMSOL 5.3.1.275
% Date,"Oct 13 2019, 14:39"
% Table,parametric_sweep_4 {tbl27} - 
% matsw.comp1.sw1,K_ads (m^3/kg),p_in (Pa),p_in (Pa),alpha (1),c_in (ug/m^3),j_ck (ug/(m^2*s)),m_ads (g),c_ads (mol/kg),c_ads_vol (ug/m^3),c_ads/c_gas (1),alpha_ck (1),n_ck (ug/s),c_gas (ug/m^3),c_liq (ug/m^3),u_ck (cm/h),Pe (1),Q_ck (L/h)
1,5.28,13,13,4.022052646223851E-7,0.9900325489590728,0.10323162213871098,13.358784943039124,8.965208324542667E-4,1.7197905337720227E8,7708.800000000016,0.009063314570291497,0.041251356206628016,22309.445487910205,119082.89013906017,-5.434144972447937,-0.2584516809987058,-5.4287108274753715
1,5.28,14,14,3.7064150890084575E-7,0.9123380275781662,0.09513034154760865,12.671641116009436,8.504059531107307E-4,1.6313286374165976E8,7708.800000000016,0.00859711942709854,0.0380140844824236,21161.90117030662,112957.55215264771,-5.852127576081409,-0.2783312217700708,-5.846275448505201
1,5.28,15,15,3.411450349229497E-7,0.8397321422597369,0.08755965780986769,12.007932412962992,8.058638273485839E-4,1.5458837448198238E8,7708.800000000016,0.008146823926093064,0.03498883926082238,20053.493991539835,107041.11956493669,-6.270106102013278,-0.2982105686031365,-6.263835995911129
2,5.28,-15,-15,7.171744053549811E-6,17.653324484661212,1.8407286958480982,11.277626194594339,7.727302984780945E-4,1.4518651850136262E8,7550.400000000011,0.007811862836393698,0.7355551868608841,19228.983696408468,102640.0658073765,105.03203303615719,4.99539589660193,104.92700100311875
2,5.28,-14,-14,6.851247363011717E-6,16.86441846234875,1.7584687252199211,11.419780639702868,7.824705616241943E-4,1.4701659414127815E8,7550.400000000011,0.007910331344536288,0.7026841025978653,19471.364979508126,103933.84353586222,98.02941908498406,4.662346749727513,97.93138966589694
2,5.28,-13,-13,6.51858315278508E-6,16.045561960539043,1.6730857900128673,11.543665898743825,7.909590406306739E-4,1.486114749383042E8,7550.4000000000115,0.007996145028584693,0.6685650816891273,19682.596278118268,105061.34953057439,91.0268734875517,4.329300853804129,90.93584661406219
2,5.28,-12,-12,6.173555784263893E-6,15.196273412716637,1.5845296768348518,11.644675259063355,7.978800887131349E-4,1.499118547441069E8,7550.4000000000115,0.008066112879477502,0.6331780588631931,19854.82288939751,105980.65712345488,84.02439624185699,3.9962582087365064,83.94037184561333
2,5.28,-11,-11,5.816191496924985E-6,14.316617407633629,1.4928071204156175,11.717653487295413,8.028804750631612E-4,1.5085136583452493E8,7550.400000000011,0.008116663935094604,0.5965257253180678,19979.2548519979,106644.84744320781,77.02198734589685,3.6632188144293765,76.94496535854928
2,5.28,-10,-10,5.446818974024805E-6,13.407403002631643,1.3980024819227492,11.756991682169378,8.055758840563367E-4,1.5135780003081143E8,7550.400000000011,0.008143912983545429,0.5586417917763185,20046.32867540947,107002.87269080315,70.019646797668,3.330182670787465,69.94962715086882
2,5.28,-9,-9,5.066152023400205E-6,12.470387243314862,1.3002989701488086,11.75683801264757,8.055653547930483E-4,1.5135582171174976E8,7550.400000000011,0.008143806538695604,0.5195994684714527,20046.066660276214,107001.47411192165,63.01737459516778,2.9971497777155216,62.95435722057125
2,5.28,-8,-8,4.675374708369719E-6,11.508484714171582,1.2000004915511187,11.711428475350065,8.024539442263043E-4,1.507712259366085E8,7550.400000000011,0.0081123519514703,0.4795201964238166,19968.640858313236,106588.19229036816,56.01517073639321,2.6641201351182837,55.95915556565561
2,5.28,-7,-7,4.2762095011856555E-6,10.525935299023473,1.097549142791094,11.615565812144885,7.958855420578634E-4,1.4953710396050507E8,7550.400000000011,0.00804594914974868,0.4385806374593117,19805.189653595167,105715.72587854785,49.01303521934145,2.3310937429004954,48.96402218412105
2,5.28,-6,-6,3.8709521727489885E-6,9.528390062430944,0.9935341656689136,11.465257029757577,7.855865528668842E-4,1.476020505690872E8,7550.400000000011,0.007941832239784275,0.39701625260128925,19548.90476916288,104347.73379852533,42.01096804200985,1.9980706009669087,41.968957073966926
2,5.28,-5,-5,3.462441476713537E-6,8.522836626792216,0.8886841661236652,11.258595200138572,7.714263160821189E-4,1.4494151624814236E8,7550.4000000000115,0.007798680317682451,0.35511819278300893,19196.53478599046,102466.86069402972,35.00896920239569,1.6650507092222735,34.97396023319254
2,5.28,-4,-4,3.053925267275096E-6,7.517269619853222,0.7838327514862139,10.996868258361477,7.534930795703326E-4,1.4157208168638688E8,7550.400000000011,0.007617385519072127,0.3132195674938843,18750.275705444325,100084.82833508866,28.00703869849641,1.3320340675713456,27.979031659797307
2,5.28,-3,-3,2.6487543338462755E-6,6.519937045494033,0.6798399488544978,10.686080459215882,7.3219824813566E-4,1.3757104478623867E8,7550.400000000011,0.007402106912009076,0.27166404356225143,18220.365117906167,97256.28271688719,21.005176528309594,0.9990206759188898,20.98417135178083
2,5.28,-2,-2,2.2497975258685707E-6,5.53790060721525,0.5774420886736081,10.339148299755982,7.08426845669814E-4,1.3310469065115604E8,7550.400000000011,0.007161791583546299,0.23074585863396876,17628.826373590313,94098.77961621463,14.003382689832808,0.6660105341696684,13.989379307142672
2,5.28,-1,-1,1.8583410493423E-6,4.574326314805872,0.4769692937527082,9.979650363937807,6.837944503009902E-4,1.2847656653981738E8,7550.400000000011,0.006912772107628178,0.1905969297835781,17015.862277471042,90826.91272212654,7.0016571810636785,0.3330036422284472,6.994655523882463
2,5.28,0,0,1.4717992724034923E-6,3.622849607853294,0.377757925410137,9.650214575723496,6.612218795699058E-4,1.2423545814206657E8,7550.400000000011,0.006684576284631048,0.15095206699388747,16454.155825130656,87828.6478037672,0,0,0
2,5.28,1,1,1.2070152961289437E-6,2.97108102595587,0.30979740427468444,8.716436245994396,5.972404356921318E-4,1.1221413180919269E8,7550.4000000000115,0.006037760358515567,0.12379504274816122,14862.011523785848,79330.13335053618,-7.001588855360423,-0.33300039261089903,-6.994587266504912
2,5.28,2,2,9.740215299382186E-7,2.3975643852675734,0.24999628641846275,7.768911188145547,5.323170814211802E-4,1.0001583209893836E8,7550.400000000011,0.005381422255244414,0.09989851605281555,13246.428281804712,70706.50701165639,-14.003109387019686,-0.6659975356994708,-13.989106277632365
