% Model,ghost_cell_flux.mph
% Version,COMSOL 5.3.1.275
% Date,"Nov 1 2019, 00:45"
% Table,time_to_equilibrium_final {tbl31} - Pressure {gev21} (sw1(t))
% Switch 1 index,K_ads (m^3/kg),Pressurization cycles index,t (h),p_in (Pa),alpha (1),c_in (ug/m^3),j_ck (ug/(m^2*s)),m_ads (g),c_ads (mol/kg),c_ads_vol (ug/m^3),c_ads/c_gas (1),alpha_ck (1),n_ck (ug/s),c_gas (ug/m^3),c_liq (ug/m^3),u_ck (cm/h),Pe (1),Q_ck (L/h)
1,5.28E-6,2,149,-15,2.034437714160448E-6,5.007790133577078,0.5221669725535102,3.175675239044872E-5,2.1306950567734013E-9,408.7299543238073,0.0077088,0.021540112459001413,0.20865792223237836,53021.216573760845,283015.53759881936,5.690834397963707,0.27066000702892906,5.6851435635656244
1,5.28E-6,2,150,-15,2.0346382539847657E-6,5.0082837644936795,0.5222184439120146,3.175954481583798E-5,2.1308824124230045E-9,408.76589464565683,0.0077088,0.021542006517820095,0.2086784901872367,53025.878819745834,283040.42363763804,5.690834397963704,0.27066000702892895,5.685143563565623
1,5.28E-6,2,151,-15,2.0348363671944435E-6,5.008771422272459,0.5222692924458378,3.1762302215334E-5,2.1310674180370382E-9,408.8013841615936,0.0077088,0.021543876819118853,0.20869880926135242,53030.48258634211,283064.9975264021,5.690834397963704,0.27066000702892895,5.685143563565623
1,5.28E-6,2,152,-15,2.035032053789481E-6,5.0092531069134205,0.5223195181549809,3.1765024588936944E-5,2.131250073615516E-9,408.8364228716198,0.0077088,0.021545723362897656,0.20871887945472603,53035.02787354969,283089.25926511263,5.690834397963705,0.270660007028929,5.685143563565623
1,5.28E-6,2,153,-15,2.0352253137698787E-6,5.009728818416561,0.5223691210394416,3.1767711936646676E-5,2.131430379158429E-9,408.8710107757338,0.0077088,0.021547546149156584,0.20873870076735654,53039.51468136857,283113.2088537679,5.690834397963704,0.27066000702892895,5.685143563565623
1,5.28E-6,2,154,-15,2.0354161471356352E-6,5.010198556781881,0.5224181010992228,3.1770364258463286E-5,2.131608334665783E-9,408.9051478739365,0.0077088,0.021549345177895512,0.20875827319924511,53043.943009798655,283136.84629236953,5.690834397963704,0.27066000702892895,5.685143563565623
1,5.28E-6,2,155,-15,2.035604553886752E-6,5.01066232200938,0.5224664583343228,3.177298155438665E-5,2.1317839401375742E-9,408.9388341662267,0.0077088,0.02155112044911456,0.20877759675039104,53048.31285884017,283160.1715809162,5.690834397963704,0.27066000702892895,5.685143563565623
1,5.28E-6,2,156,-15,2.0357905340232284E-6,5.01112011409906,0.5225141927447414,3.177556382441691E-5,2.1319571955738067E-9,408.97206965260585,0.0077088,0.02155287196281368,0.2087966714207943,53052.62422849286,283183.18471940863,5.690834397963704,0.27066000702892895,5.685143563565623
1,5.28E-6,2,157,-15,2.035975194150125E-6,5.011574656971078,0.5225615883561885,3.177812720632369E-5,2.1321291837258124E-9,409.00506203661257,0.0077088,0.021554610664991643,0.20881561070712856,53056.904062449685,283206.02952732524,5.690834397963704,0.27066000702892895,5.685143563565623
1,5.28E-6,2,158,-15,2.0361620652599036E-6,5.012034642201044,0.5226095514474005,3.1780723193042544E-5,2.1323033594727967E-9,409.0384740656506,0.0077088,0.021556371482507844,0.2088347767583769,53061.23833354745,283229.1649086703,5.690834397963704,0.27066000702892895,5.685143563565623
1,5.28E-6,2,159,-15,2.0363471405485337E-6,5.012490206998099,0.5226570536159293,3.1783293352814165E-5,2.1324758023804707E-9,409.0715536851641,0.0077088,0.021558114782006404,0.208853758624921,53065.529483857965,283252.0701207822,5.6908343979637035,0.2706600070289289,5.685143563565622
1,5.28E-6,2,160,-15,2.0365304200160154E-6,5.012941351362241,0.5227040948617736,3.178583768563855E-5,2.1326465124488372E-9,409.1043008951529,0.0077088,0.02155984056348734,0.20887255630676038,53069.77751338116,283274.7451636599,5.6908343979637035,0.2706600070289289,5.685143563565622
1,5.28E-6,2,161,-15,2.036711903662349E-6,5.013388075293472,0.5227506751849331,3.178835619151562E-5,2.132815489677895E-9,409.13671569561626,0.0077088,0.02156154882695061,0.20889116980389494,53073.98242211713,283297.19003730424,5.690834397963705,0.270660007028929,5.685143563565623
1,5.28E-6,2,162,-15,2.036891591487533E-6,5.0138303787917895,0.5227967945854085,3.179084887044547E-5,2.1329827340676414E-9,409.1687980865551,0.0077088,0.021563239572396267,0.2089095991163249,53078.14421006585,283319.4047417146,5.690834397963704,0.27066000702892895,5.685143563565623
