% Model,ghost_cell_flux.mph
% Version,COMSOL 5.3.1.275
% Date,"Sep 23 2019, 17:08"
% Table,transient_parametric_sweep_2 {tbl20} - Pressure {gev28} (sw1(t))
% K_ads (m^3/kg),t (h),p_in (Pa),alpha (1),c_in (ug/m^3),j_ck (ug/(m^2*s)),m_ads (g),c_ads (mol/kg),c_ads_vol (ug/m^3),c_ads/c_gas (1),alpha_ck (1),n_ck (ug/s),c_gas (ug/m^3),c_liq (ug/m^3),u_ck (cm/h),Pe (1)
5.28E-6,64,-5,1.361079917276983E-6,3.3503127342300294,0.34934025007671554,2.585265518550686E-5,1.7340809988038472E-9,332.6477175519423,0.007708799999999992,0.01753057041574805,0.13959636393065236,43151.686066825285,230334.16469251356,1.4567811849882126,0.06928551741192941
5.28E-6,65,-5,1.3649172035933128E-6,3.35975825542779,0.3503251434173159,2.592253388461878E-5,1.738768150799708E-9,333.5468511070175,0.007708799999999992,0.017577954850598206,0.13998992730955628,43268.32335863135,230956.74878200988,1.4567811856369295,0.06928551744278283
5.28E-6,66,-5,1.3684272457694474E-6,3.3683982616839363,0.3512260449658288,2.5986555568388933E-5,1.7430624402852835E-9,334.37062208246124,0.007708799999999992,0.017621367669413735,0.14034992756834205,43375.184475205184,231527.14980842668,1.456781186040792,0.06928551746199081
5.28E-6,67,-5,1.3716199852178563E-6,3.3762572238913013,0.35204550632583115,2.6044887324502814E-5,1.7469750747585333E-9,335.1211804058847,0.007708799999999993,0.017660922173610306,0.14067738432779894,43472.5483091901,232046.85643906565,1.4567811861171487,0.06928551746562239
5.28E-6,68,-5,1.3745377647830253E-6,3.3834393694132325,0.35279439537613294,2.609829225508658E-5,1.7505572397123172E-9,335.8083449596698,0.007708799999999992,0.017697135819343394,0.14097664039229954,43561.68858443209,232522.66753035242,1.456781186158637,0.0692855174675956
5.28E-6,69,-5,1.377238505966934E-6,3.390087272644669,0.3534875784798367,2.614778218622123E-5,1.7538768039349041E-9,336.44513497275034,0.007708799999999993,0.01773069472137492,0.14125363636053953,43644.29417973617,232963.59794414512,1.4567811861640585,0.06928551746785346
5.28E-6,70,-5,1.3797280825526347E-6,3.3962153919652454,0.3541265632275173,2.619347067961583E-5,1.7569413846400989E-9,337.0330116506793,0.007708799999999992,0.01776167588539449,0.14150897466571272,43720.55464542851,233370.6594581982,1.4567811861500326,0.06928551746718636
5.28E-6,71,-5,1.3821022903524349E-6,3.4020595297887564,0.3547359369579746,2.6237055385211374E-5,1.7598648526270167E-9,337.59381876052925,0.007708799999999992,0.017791230480271113,0.14175248040840346,43793.30359595909,233758.977280282,1.4567811861515652,0.06928551746725925
5.28E-6,72,-5,1.3843147656549285E-6,3.40750556134504,0.3553037997744089,2.627771466634091E-5,1.7625920961664512E-9,338.11698425235176,0.007708799999999992,0.017818801357837862,0.1419793983898506,43861.16960517229,234121.2310406317,1.4567811861517008,0.0692855174672657
5.28E-8,0,-5,1.4393920509912974E-6,3.5430788866780776,0.36944015751982884,2.730169359631645E-7,1.8312760434401307E-11,3.512925846474941,7.708799999999999E-5,0.0185131569127072,0.14762828694492028,45570.33320977245,243244.36867605982,1.456781186145071,0.06928551746695039
