% Model,ghost_cell_flux.mph
% Version,COMSOL 5.3.1.275
% Date,"Nov 1 2019, 00:45"
% Table,sand_time_to_equilibrium_final {tbl32} - Pressure {gev21} (sw1(t))
% Switch 1 index,Pressurization cycles index,K_ads (m^3/kg),t (h),p_in (Pa),alpha (1),c_in (ug/m^3),j_ck (ug/(m^2*s)),m_ads (g),c_ads (mol/kg),c_ads_vol (ug/m^3),c_ads/c_gas (1),alpha_ck (1),n_ck (ug/s),c_gas (ug/m^3),c_liq (ug/m^3),u_ck (cm/h),Pe (1),Q_ck (L/h)
2,2,0,113,-15,7.605618070168292E-6,18.721310004450945,1.9520885473443594,0,0,0,0,0.00840344263086733,0.7800545835187899,20685.16367054505,110412.83272696593,95.31197628391757,4.533103296798968,95.21666430763167
2,2,0,114,-15,7.604434633953372E-6,18.71839696358489,1.9517848018419774,0,0,0,0,0.008401923409715762,0.7799332068160381,20681.42409147585,110392.87168025557,95.31197628391759,4.533103296798969,95.21666430763169
2,2,0,115,-15,7.603251197738451E-6,18.715483922718832,1.9514810563395926,0,0,0,0,0.008400404188564218,0.7798118301132849,20677.684512406595,110372.9106335452,95.31197628391759,4.533103296798969,95.21666430763169
2,2,0,116,-15,7.6020677615235314E-6,18.712570881852777,1.9511773108372084,0,0,0,0,0.008398884967412644,0.7796904534105323,20673.944933337403,110352.94958683466,95.31197628391763,4.533103296798971,95.21666430763173
2,2,0,117,-15,7.6008843253086115E-6,18.709657840986722,1.9508735653348255,0,0,0,0,0.008397365746261097,0.7795690767077802,20670.20535426819,110332.98854012451,95.31197628391759,4.533103296798969,95.2166643076317
2,2,0,118,-15,7.5997008890936924E-6,18.70674480012067,1.9505698198324433,0,0,0,0,0.008395846525109534,0.7794477000050282,20666.465775198958,110313.02749341416,95.31197628391759,4.533103296798969,95.21666430763169
2,2,0,119,-15,7.5985174528787725E-6,18.703831759254616,1.9502660743300617,0,0,0,0,0.008394327303957984,0.7793263233022764,20662.72619612973,110293.06644670383,95.31197628391762,4.53310329679897,95.21666430763172
2,2,0,120,-15,7.5973340166638526E-6,18.70091871838856,1.9499623288276768,0,0,0,0,0.008392808082806414,0.7792049465995234,20658.986617060516,110273.10539999332,95.31197628391763,4.533103296798971,95.21666430763173
2,2,0,121,-15,7.596150580448934E-6,18.698005677522506,1.949658583325294,0,0,0,0,0.008391288861654855,0.7790835698967713,20655.247037991307,110253.1443532831,95.31197628391763,4.533103296798971,95.21666430763173
2,2,0,122,-15,7.5949671442340136E-6,18.69509263665645,1.9493548378229095,0,0,0,0,0.008389769640503295,0.7789621931940185,20651.50745892208,110233.18330657276,95.31197628391763,4.533103296798971,95.21666430763173
2,2,0,123,-15,7.593783708019094E-6,18.692179595790392,1.9490510923205253,0,0,0,0,0.00838825041935173,0.7788408164912657,20647.767879852854,110213.22225986235,95.31197628391763,4.533103296798971,95.21666430763173
2,2,0,124,-15,7.592620062485755E-6,18.68931526989815,1.948752426374139,0,0,0,0,0.00838675709227674,0.7787214695790896,20644.092039329324,110193.60143542419,95.31197628391763,4.533103296798971,95.21666430763173
2,2,0,125,-15,7.591705760707508E-6,18.687064706318665,1.948517757999567,0,0,0,0,0.008385590005925682,0.7786276960966108,20641.219243827556,110178.26708785737,95.31197628391763,4.533103296798971,95.21666430763173
2,2,0,126,-15,7.590791458929261E-6,18.684814142739178,1.9482830896249956,0,0,0,0,0.00838442291957462,0.778533922614132,20638.3464483258,110162.93274029093,95.31197628391763,4.533103296798971,95.21666430763173
2,2,0,127,-15,7.589877157151013E-6,18.682563579159694,1.948048421250424,0,0,0,0,0.008383255833223566,0.7784401491316533,20635.473652823996,110147.5983927244,95.31197628391763,4.533103296798971,95.21666430763173
