% Model,ghost_cell_flux.mph
% Version,COMSOL 5.3.1.275
% Date,"Oct 7 2019, 11:31"
% Table,Table 26 {tbl26} - Pressure {gev21} (sw1(t))
% Pressurization cycles index,K_ads (m^3/kg),t (h),p_in (Pa),alpha (1),c_in (ug/m^3),j_ck (ug/(m^2*s)),m_ads (g),u_ck (cm/h),c_gas (ug/m^3)
2,0,108,-15,7.502169201843058E-6,18.466669511639104,1.925536944406853,0,105.03203303615715,20199.860789804898
2,0,109,-15,7.500730472861437E-6,18.463128064904748,1.925167674435386,0,105.03203303615716,20195.447409440432
2,0,110,-15,7.499315800419705E-6,18.459645833599932,1.924804578912278,0,105.03203303615715,20191.116825729667
2,0,111,-15,7.4979251845178655E-6,18.456222817724658,1.9244476578375302,0,105.03203303615715,20186.8690386726
2,0,112,-15,7.4965586251559156E-6,18.45285901727892,1.9240969112111403,0,105.03203303615715,20182.704048269286
2,0,113,-15,7.495204385358412E-6,18.449525541572473,1.9237493265737469,0,105.03203303615715,20178.578807009715
2,0,114,-15,7.493816456976981E-6,18.44610914105735,1.9233930952888043,0,105.03203303615715,20174.324571571717
2,0,115,-15,7.492444933483033E-6,18.44273312134775,1.9230410745483137,0,105.03203303615713,20170.12506894891
2,0,116,-15,7.491089814876567E-6,18.439397482443667,1.9226932643522756,0,105.03203303615709,20165.980299141356
2,0,117,-15,7.489751101157586E-6,18.436102224345106,1.92234966470069,0,105.0320330361571,20161.89026214892
2,0,118,-15,7.488428792326085E-6,18.432847347052068,1.9220102755935589,0,105.03203303615713,20157.85495797175
2,0,119,-15,7.487122888382069E-6,18.429632850564552,1.9216750970308802,0,105.03203303615713,20153.874386609707
2,0,120,-15,7.485833389325535E-6,18.426458734882548,1.9213441290126523,0,105.03203303615715,20149.948548062905
2,0,121,-15,7.484560295156485E-6,18.42332500000607,1.9210173715388796,0,105.03203303615715,20146.07744233131
2,0,122,-15,7.4833036058749175E-6,18.420231645935115,1.9206948246095585,0,105.03203303615716,20142.261069414908
2,0,123,-15,7.482063321480831E-6,18.417178672669674,1.9203764882246894,0,105.03203303615713,20138.49942931367
2,0,124,-15,7.480839441974231E-6,18.414166080209764,1.920062362384277,0,105.03203303615715,20134.792522027634
2,0,125,-15,7.479631967355112E-6,18.411193868555365,1.9197524470883134,0,105.03203303615715,20131.14034755681
2,0,126,-15,7.478440897623476E-6,18.408262037706493,1.9194467423368062,0,105.03203303615716,20127.542905901177
2,0,127,-15,7.477266232779323E-6,18.40537058766314,1.919145248129749,0,105.03203303615715,20124.00019706077
2,0,128,-15,7.476107972822652E-6,18.402519518425308,1.9188479644671463,0,105.03203303615716,20120.512221035504
2,0,129,-15,7.474966117753466E-6,18.399708829992996,1.9185548913489932,0,105.03203303615716,20117.078977825444
2,0,130,-15,7.473824773805264E-6,18.396899399690444,1.9182619494172133,0,105.03203303615716,20113.64405422568
2,0,131,-15,7.472670620677271E-6,18.3940584394552,1.9179657198297875,0,105.03203303615716,20110.160171269577
2,0,132,-15,7.471528012027586E-6,18.391245896076455,1.9176724532946332,0,105.03203303615719,20106.71376963201
2,0,133,-15,7.470396947856213E-6,18.388461769554212,1.9173821498117505,0,105.03203303615719,20103.304849313077
2,0,134,-15,7.469277428163149E-6,18.38570605988847,1.917094809381138,0,105.03203303615719,20099.933410312726
2,0,135,-15,7.468169452948397E-6,18.382978767079226,1.9168104320027954,0,105.03203303615719,20096.59945263101
2,0,136,-15,7.4670730222119546E-6,18.380279891126477,1.9165290176767271,0,105.03203303615719,20093.302976267914
2,0,137,-15,7.465988135953823E-6,18.37760943203023,1.9162505664029261,0,105.03203303615719,20090.043981223385
2,0,138,-15,7.464914794174E-6,18.374967389790484,1.9159750781813978,0,105.03203303615719,20086.822467497437
2,0,139,-15,7.46385299687249E-6,18.372353764407237,1.9157025530121399,0,105.03203303615716,20083.63843509016
2,0,140,-15,7.462802744049288E-6,18.369768555880484,1.915432990895152,0,105.03203303615715,20080.491884001472
2,0,141,-15,7.461764035704398E-6,18.367211764210236,1.9151663918304376,0,105.03203303615719,20077.382814231376
2,0,142,-15,7.460736871837816E-6,18.364683389396486,1.9149027558179943,0,105.0320330361572,20074.31122577991
2,0,143,-15,7.459721252449547E-6,18.362183431439234,1.9146420828578197,0,105.0320330361572,20071.277118647064
2,0,144,-15,7.458717177539587E-6,18.359711890338485,1.914384372949916,0,105.03203303615719,20068.280492832746
2,0,145,-15,7.457724647107938E-6,18.35726876609423,1.914129626094283,0,105.03203303615719,20065.32134833709
2,0,146,-15,7.4567436611546004E-6,18.35485405870648,1.913877842290923,0,105.03203303615719,20062.399685160006
2,0,147,-15,7.455759836094231E-6,18.352432362826484,1.9136253297909227,0,105.03203303615719,20059.465131374523
2,0,148,-15,7.4547749154950975E-6,18.350007970266137,1.9133725361055345,0,105.03203303615719,20056.52379303071
2,0,149,-15,7.453798688983529E-6,18.34760497829507,1.9131219738796572,0,105.03203303615719,20053.609953816005
2,0,150,-15,7.452831156559523E-6,18.34522338691327,1.9128736431132864,0,105.0320330361572,20050.723613730403
2,0,151,-15,7.45187231822308E-6,18.342863196120742,1.9126275438064246,0,105.03203303615719,20047.864772773853
2,0,152,-15,7.450922173974202E-6,18.34052440591749,1.9123836759590707,0,105.03203303615719,20045.03343094642
2,0,153,-15,7.449980723812888E-6,18.338207016303507,1.912142039571226,0,105.03203303615716,20042.22958824807
2,0,154,-15,7.449047967739138E-6,18.335911027278804,1.9119026346428922,0,105.03203303615715,20039.453244678858
