% Model,cpm.mph
% Version,COMSOL 5.3.1.275
% Date,"Jul 24 2019, 14:33"
% Table,Table 9 {tbl9} - Surface Average 1 {av1} (p)
% Time,Pressure (Pa)
216059.42228335625,-4.999999999999995
216415.95598349383,-5
216772.48968363137,-4.999999999999997
217129.02338376892,-4.999999999999997
217485.55708390646,-4.999999999999995
217842.09078404403,-4.999999999999995
218198.62448418158,-4.999999999999991
218555.15818431912,-4.999999999999989
218911.69188445667,-4.999999999999989
219268.22558459424,-4.999999999999991
219624.7592847318,-4.999999999999993
219981.29298486933,-4.999999999999997
220337.82668500688,-4.999999999999997
220694.36038514442,-4.999999999999997
221050.894085282,-4.999999999999996
221407.42778541954,-4.999999999999994
221763.96148555708,-4.999999999999991
222120.49518569463,-4.999999999999991
222477.0288858322,-4.999999999999989
222833.56258596975,-4.999999999999991
223190.0962861073,-4.999999999999994
223546.62998624484,-4.999999999999997
223903.1636863824,-5
224259.69738651995,-4.999999999999997
224616.2310866575,-4.999999999999996
224972.76478679504,-4.999999999999995
225329.29848693262,-4.999999999999991
225685.83218707016,-4.999999999999991
226042.3658872077,-4.999999999999989
226398.89958734525,-4.999999999999991
226755.43328748283,-4.999999999999993
227111.96698762037,-4.999999999999997
227468.5006877579,-4.999999999999997
227825.03438789546,-4.999999999999997
228181.568088033,-4.999999999999995
228538.10178817058,-4.999999999999994
228894.63548830812,-4.999999999999991
229251.16918844567,-4.999999999999991
229607.7028885832,-4.999999999999989
229964.23658872079,-4.999999999999989
230320.77028885833,-4.999999999999993
230677.30398899587,-4.999999999999996
231033.83768913342,-5
231390.371389271,-4.999999999999997
231746.90508940854,-4.999999999999997
232103.43878954608,-4.999999999999994
232459.97248968363,-4.999999999999991
232816.5061898212,-4.999999999999991
233173.03988995875,-4.999999999999989
233529.5735900963,-4.999999999999989
233886.10729023383,-4.999999999999993
234242.6409903714,-4.999999999999996
234599.17469050895,-4.999999999999997
234955.7083906465,-4.999999999999997
235312.24209078404,-4.999999999999995
235668.77579092162,-4.999999999999995
236025.30949105916,-4.999999999999993
236381.8431911967,-4.999999999999991
236738.37689133425,-4.999999999999989
237094.9105914718,-4.999999999999991
237451.44429160937,-4.999999999999991
237807.9779917469,-4.999999999999995
238164.51169188446,-4.999999999999997
238521.045392022,-4.999999999999997
238877.57909215958,-4.999999999999997
239234.11279229712,-4.999999999999994
239590.64649243467,-4.999999999999991
239947.1801925722,-4.999999999999991
240303.71389270978,-4.999999999999989
240660.24759284733,-4.999999999999989
241016.78129298487,-4.999999999999991
241373.31499312242,-4.999999999999996
241729.84869326,-4.999999999999997
242086.38239339754,-4.999999999999997
242442.91609353508,-4.999999999999997
242799.44979367263,-4.999999999999994
243155.9834938102,-4.999999999999991
243512.51719394774,-4.999999999999991
243869.0508940853,-4.999999999999989
244225.58459422283,-4.999999999999989
244582.11829436038,-4.999999999999991
244938.65199449795,-4.999999999999995
245295.1856946355,-4.999999999999997
245651.71939477304,-4.999999999999997
246008.2530949106,-4.999999999999997
246364.78679504816,-4.999999999999996
246721.3204951857,-4.999999999999991
247077.85419532325,-4.999999999999991
247434.3878954608,-4.999999999999989
247790.92159559837,-4.999999999999989
248147.4552957359,-4.999999999999991
248503.98899587346,-4.999999999999995
248860.522696011,-4.999999999999997
249217.05639614858,-4.999999999999997
249573.59009628612,-4.999999999999997
249930.12379642366,-4.999999999999996
250286.6574965612,-4.999999999999994
250643.19119669878,-4.999999999999991
250999.72489683633,-4.999999999999989
251356.25859697387,-4.999999999999989
251712.79229711142,-4.999999999999991
252069.32599724896,-4.999999999999995
252425.85969738654,-4.999999999999997
252782.39339752408,-4.999999999999997
253138.92709766162,-4.999999999999997
253495.46079779917,-4.999999999999996
253851.99449793674,-4.999999999999994
254208.5281980743,-4.999999999999991
254565.06189821183,-4.999999999999991
254921.59559834938,-4.999999999999989
255278.12929848695,-4.999999999999991
255634.6629986245,-4.999999999999995
255991.19669876204,-4.999999999999997
256347.73039889958,-5
256704.26409903716,-5
257060.7977991747,-5.000000000000001
257417.33149931225,-4.999999999999997
257773.8651994498,-4.999999999999996
258130.39889958737,-4.999999999999995
258486.9325997249,-4.999999999999994
258843.46629986246,-4.999999999999991
259200,-4.999999999999991
