% Model,cpm.mph
% Version,COMSOL 5.3.1.275
% Date,"Jul 24 2019, 13:12"
% Table,Probe Table 1 {tbl1} - 
% Time (h),c_in (mol/m^3),c_ads (mol/kg),m_ads (g),"alpha (1), Attenuation from source {avh1}",j_sides (mol/(m^2*s)),j_bottom (mol/(m^2*s)),j_ck (mol/(m^2*s)),j_d_sides (mol/(m^2*s)),j_d_bottom (mol/(m^2*s)),j_d_ck (mol/(m^2*s)),j_c_sides (mol/(m^2*s)),j_c_bottom (mol/(m^2*s)),j_c_ck (mol/(m^2*s))
2.66,8.584285346970621E-7,2.2125667792186887E-6,12.820273476260015,2.09756912885807E-6,-9.270305622952089E-11,-1.2897662269629342E-11,4.750634244468314E-9,-2.770406137906708E-11,-1.5552261752941128E-12,4.742946766783324E-9,-6.499899485045372E-11,-1.1342436094335237E-11,7.687477685000604E-12
2.76,8.824801578266917E-7,2.2125677254500078E-6,12.8202789590072,2.156339242078322E-6,-9.737373951271439E-11,-1.3394665341611327E-11,4.8842918667829144E-9,-2.93969708839806E-11,-1.555394096478152E-12,4.8760445063605816E-9,-6.797676862873389E-11,-1.1839271245133169E-11,8.247360422322768E-12
2.86,9.08386212286195E-7,2.2125687681729446E-6,12.820285000855673,2.2196406561022E-6,-1.0230274700532982E-10,-1.3908177900768483E-11,5.02810087193869E-9,-3.1214363839710395E-11,-1.5555666631745713E-12,5.019244730525163E-9,-7.108838316561937E-11,-1.2352611237593875E-11,8.856141413526672E-12
2.96,9.361040220070153E-7,2.212569908155816E-6,12.820291606257285,2.287369092005685E-6,-1.0747878299857389E-10,-1.4435900454567196E-11,5.182021191252291E-9,-3.31573207308566E-11,-1.5557400658551536E-12,5.172506179852082E-9,-7.432146226771726E-11,-1.288016038871207E-11,9.515011400204301E-12
3.06,9.655809512937768E-7,2.212571144960651E-6,12.820298772674306,2.3593959345281865E-6,-1.1288172799681359E-10,-1.4973906406370665E-11,5.345770736171355E-9,-3.5226099941303537E-11,-1.555916765354268E-12,5.335547132427174E-9,-7.76556280555102E-11,-1.3417989641016487E-11,1.0223603744177914E-11
3.16,9.967137483591716E-7,2.2125724774791206E-6,12.820306493684736,2.435468888047164E-6,-1.184819322324202E-10,-1.5518656636371896E-11,5.518701016325127E-9,-3.741026853209561E-11,-1.5560932768767807E-12,5.507720029606163E-9,-8.10716637003247E-11,-1.3962563359495136E-11,1.0980986718958886E-11
3.26,1.0294261987681149E-6,2.2125739038016626E-6,12.820314758224017,2.515401722678894E-6,-1.2426342619833932E-10,-1.606686430181966E-11,5.700490671924176E-9,-3.971248893189844E-11,-1.5562692280904766E-12,5.688704355687826E-9,-8.455093726644076E-11,-1.4510595073729233E-11,1.1786316236351014E-11
3.36,1.0635668469288585E-6,2.212575421238496E-6,12.820323550706744,2.598824356860612E-6,-1.301857609873106E-10,-1.661505788547406E-11,5.890137669912322E-9,-4.211283914539134E-11,-1.5564432787475293E-12,5.877500445053978E-9,-8.80729218419193E-11,-1.5058614606726567E-11,1.2637224858350165E-11
3.46,1.0989979692307762E-6,2.2125770263780936E-6,12.82033285136551,2.6854002631094984E-6,-1.3622370788954876E-10,-1.7159677561826927E-11,6.086973405179225E-9,-4.460771622130601E-11,-1.5566142747849088E-12,6.073442606552309E-9,-9.161599166824265E-11,-1.5603063287042016E-11,1.3530798626906776E-11
3.56,1.1356875502800369E-6,2.2125787553223116E-6,12.82034286938526,2.77505121184785E-6,-1.4235673654918926E-10,-1.7696724456355886E-11,6.291158025796728E-9,-4.719590505875277E-11,-1.5567797807156848E-12,6.276693401341191E-9,-9.516083149043653E-11,-1.6139944675640215E-11,1.4464624455533728E-11
