% Model,cpm.mph
% Version,COMSOL 5.3.1.275
% Date,"Jul 24 2019, 13:12"
% Table,Probe Table 1 {tbl1} - 
% Time (h),c_in (mol/m^3),c_ads (mol/kg),m_ads (g),"alpha (1), Attenuation from source {avh1}",j_sides (mol/(m^2*s)),j_bottom (mol/(m^2*s)),j_ck (mol/(m^2*s)),j_d_sides (mol/(m^2*s)),j_d_bottom (mol/(m^2*s)),j_d_ck (mol/(m^2*s)),j_c_sides (mol/(m^2*s)),j_c_bottom (mol/(m^2*s)),j_c_ck (mol/(m^2*s))
35.102,4.326560073650744E-9,2.2123067812611317E-6,12.818766970354542,1.0571944521674533E-8,9.882295606891234E-11,2.0271522645880356E-11,2.3794726860140597E-11,2.3225511789758897E-11,-1.5440363022965077E-12,2.3869349890982113E-11,7.559744427915342E-11,2.181555894817691E-11,-7.462303084152204E-14
35.202,4.269748785594041E-9,2.212300980995199E-6,12.818733361879449,1.043312620520226E-8,9.8634872976209E-11,2.027142257541953E-11,2.3469340567130988E-11,2.3215341892878522E-11,-1.5440846096411122E-12,2.354298371887387E-11,7.541953108333066E-11,2.1815507185060617E-11,-7.364315174288902E-14
35.302,4.212451453622646E-9,2.2122951840487703E-6,12.818699772638553,1.0293120240988194E-8,9.844898326921956E-11,2.0271322598448583E-11,2.3156204262658334E-11,2.3205267201063187E-11,-1.544132886344261E-12,2.3228859152711562E-11,7.524371606815656E-11,2.1815455484792904E-11,-7.265489005314413E-14
35.402,4.156587837411751E-9,2.2122893920921204E-6,12.818666212309928,1.0156617559571965E-8,9.826663008692762E-11,2.0271223012879082E-11,2.284364943225054E-11,2.319560471682896E-11,-1.5441808667520297E-12,2.291534078939402E-11,7.50710253700984E-11,2.1815403879631115E-11,-7.169135714345307E-14
35.502,4.100247612766104E-9,2.212283603634506E-6,12.818632672255763,1.0018950285998239E-8,9.808633391521052E-11,2.0271123386396127E-11,2.255123035265588E-11,2.3185848273199232E-11,-1.544228955348076E-12,2.2621949957033066E-11,7.490048564201137E-11,2.181535234174433E-11,-7.071960437720378E-14
35.602,4.0480042779065185E-9,2.212277818627173E-6,12.818599152193558,9.891293757864846E-9,9.790815465530553E-11,2.027102381145565E-11,2.2261863929728173E-11,2.3176098794313874E-11,-1.5442770593219334E-12,2.2331682443529938E-11,7.473205586099178E-11,2.18153008707776E-11,-6.981851380172981E-14
35.702,3.9967199630569056E-9,2.2122720370292367E-6,12.818565651886415,9.76598059401348E-9,9.773208631523195E-11,2.0270924309099754E-11,2.1979698149250723E-11,2.316639627376195E-11,-1.5443251571057805E-12,2.2048632113784302E-11,7.456569004147007E-11,2.1815249466205545E-11,-6.893396453354434E-14
35.802,3.946637308546697E-9,2.212266258799662E-6,12.818532171096571,9.643603685807671E-9,9.755809754059865E-11,2.0270824889562247E-11,2.170417313210278E-11,2.3156756146994776E-11,-1.5443732380486688E-12,2.1772243273631885E-11,7.440134139360392E-11,2.1815198127610894E-11,-6.807014152911804E-14
35.902,3.8989600059500544E-9,2.212260482840028E-6,12.818498703459438,9.527104252212712E-9,9.738539887597913E-11,2.0270725413153752E-11,2.143174751446024E-11,2.3147050842018306E-11,-1.5444214205832116E-12,2.149899532003587E-11,7.423834803396081E-11,2.1815146833736935E-11,-6.72478055755656E-14
36.002,3.85086158651677E-9,2.2122547099238617E-6,12.818465253457072,9.409575820115893E-9,9.721457437243572E-11,2.027062602222405E-11,2.116893915098108E-11,2.313742958385109E-11,-1.5444695777006836E-12,2.1235357357770757E-11,7.407714478858453E-11,2.1815095599924738E-11,-6.64182067896214E-14
36.102,3.803869800186547E-9,2.2122489415872832E-6,12.8184318299902,9.294751444722825E-9,9.704675845343082E-11,2.0270527012330018E-11,2.090610417693487E-11,2.312814745252026E-11,-1.5445174446721528E-12,2.0971711872185066E-11,7.391861100091051E-11,2.1815044457002145E-11,-6.560769525020548E-14
36.202,3.7564563668623875E-9,2.2122431764671112E-6,12.818398425160153,9.178896775389148E-9,9.688071650398836E-11,2.0270427957820225E-11,2.0659313853489458E-11,2.3118797225636347E-11,-1.5445654205601094E-12,2.0724103765220905E-11,7.376191927835233E-11,2.181499337838033E-11,-6.478991173147859E-14
36.302,3.712283626156636E-9,2.2122374145222273E-6,12.818365038728674,9.070960734709722E-9,9.671647864021552E-11,2.0270328951128196E-11,2.041478996795702E-11,2.310944172448517E-11,-1.5446134125873653E-12,2.047881799080201E-11,7.360703691573032E-11,2.1814942363715555E-11,-6.402802284495194E-14
36.402,3.668860399519044E-9,2.212231655718035E-6,12.8183316704953,8.964856130786504E-9,9.655404993893867E-11,2.0270230013265468E-11,2.017591751776724E-11,2.3100122813712528E-11,-1.5446613992563673E-12,2.023919657944873E-11,7.345392712522594E-11,2.181489141252191E-11,-6.32790616815226E-14
36.502,3.626378747238914E-9,2.212225900019758E-6,12.818298320258531,8.86105226271364E-9,9.639340622192398E-11,2.0270131153656098E-11,1.9942246066306593E-11,2.3090853926015858E-11,-1.544709370749271E-12,2.0004792407116354E-11,7.3302552295908E-11,2.1814840524405298E-11,-6.254634080980896E-14
36.602000000000004,3.585820372719143E-9,2.2122201464160615E-6,12.818264982158386,8.761947921617422E-9,9.623386548092658E-11,2.0270032238060584E-11,1.9711001130942605E-11,2.3081521215496145E-11,-1.544757440981319E-12,1.977284792316973E-11,7.315234426543057E-11,2.181478967904188E-11,-6.184679222712525E-14
36.702000000000005,3.544899384375652E-9,2.2122143956227013E-6,12.818231660342173,8.661957534063546E-9,9.607594430396138E-11,2.0269933400687812E-11,1.9487439620329958E-11,2.307226487027516E-11,-1.5448054904261663E-12,1.9548580610118378E-11,7.30036794336864E-11,2.1814738891114044E-11,-6.114098978845299E-14
36.80200000000001,3.5048499225296982E-9,2.212208649061861E-6,12.81819836305044,8.564096720495536E-9,9.592060815417574E-11,2.0269834934853788E-11,1.9263514090599838E-11,2.3063289373535136E-11,-1.5448532552494827E-12,1.9323964310068696E-11,7.285731878064061E-11,2.1814688190103277E-11,-6.045021946883891E-14
36.902,3.464433671229061E-9,2.212202905477691E-6,12.818165083006427,8.465339657320433E-9,9.576681804660372E-11,2.026973642099816E-11,1.9052585766155603E-11,2.3054266613039977E-11,-1.5449011295915031E-12,1.911233888942771E-11,7.271255143356378E-11,2.18146375505896E-11,-5.975312327208672E-14
37.002,3.4266215685818378E-9,2.212197164835006E-6,12.818131820006258,8.372945828359443E-9,9.561458113183882E-11,2.0269637951497043E-11,1.8843378491759457E-11,2.3045230225204106E-11,-1.5449490207459273E-12,1.89024794344648E-11,7.256935090663479E-11,2.1814586972243013E-11,-5.910094270528791E-14
37.102000000000004,3.3894029665095175E-9,2.212191427104137E-6,12.818098573878022,8.282002217364847E-9,9.546391100782607E-11,2.026953954733786E-11,1.8638667693779317E-11,2.3036223595798846E-11,-1.544996907273632E-12,1.869712669270203E-11,7.242768741202734E-11,2.181453645461153E-11,-5.845899892263729E-14
37.202000000000005,3.3529322833594693E-9,2.2121856922552707E-6,12.81806534444897,8.192886145389332E-9,9.531478872657934E-11,2.0269441217218164E-11,1.8438086678151013E-11,2.3027258564409964E-11,-1.5450447801054847E-12,1.849591663340882E-11,7.228753016216937E-11,2.181448599732361E-11,-5.782995525774928E-14
37.30200000000001,3.318021362300924E-9,2.2121799593511506E-6,12.81803212628836,8.107581350275263E-9,9.516661852633862E-11,2.0269342831824727E-11,1.823943669771862E-11,2.3018231700566663E-11,-1.545092749110467E-12,1.8296664511728437E-11,7.214838682577208E-11,2.181443558093516E-11,-5.722781400980872E-14
37.402,3.2827994415120393E-9,2.212174229057939E-6,12.817998923256136,8.021516627680829E-9,9.501986186624267E-11,2.0269244518070812E-11,1.804702528431642E-11,2.300927578132689E-11,-1.5451407014336248E-12,1.8103645593393556E-11,7.201058608491581E-11,2.181438521950446E-11,-5.662030907715331E-14
37.502,3.2482761024449915E-9,2.212168502699863E-6,12.817965743025262,7.937158888713411E-9,9.487534659733443E-11,2.026914656710347E-11,1.7854069159481154E-11,2.300055454542447E-11,-1.5451883741403569E-12,1.7910094012786437E-11,7.187479205190987E-11,2.1814334941243948E-11,-5.602485330539611E-14
37.602000000000004,3.213434583433E-9,2.2121627791125562E-6,12.817932578849055,7.852023677419601E-9,9.47321918594984E-11,2.026904856498348E-11,1.767178552875049E-11,2.2991803528690314E-11,-1.5452361568509938E-12,1.7727209438757442E-11,7.174038833080802E-11,2.1814284721834436E-11,-5.542391000698911E-14
37.702000000000005,3.180713405043327E-9,2.2121570582655538E-6,12.817899430550987,7.772069515977085E-9,9.459038551989854E-11,2.026895060398931E-11,1.74908292998998E-11,2.2983032494083245E-11,-1.5452839569720224E-12,1.7545688837608335E-11,7.160735302581542E-11,2.181423456096132E-11,-5.485953770851737E-14
37.80200000000001,3.148470647990017E-9,2.2121513401331627E-6,12.817866297982192,7.693284376515053E-9,9.444994717846324E-11,2.0268852705090633E-11,1.7313507461861363E-11,2.297428525505669E-11,-1.5453317531123828E-12,1.7367810879154247E-11,7.147566192340659E-11,2.1814184458202992E-11,-5.430341729293816E-14
37.902,3.116833478402026E-9,2.212145624689555E-6,12.817833180993011,7.615978989322124E-9,9.431086129673033E-11,2.026875487633023E-11,1.713953088896775E-11,2.2965571974656012E-11,-1.5453795368777228E-12,1.719328863102534E-11,7.134528932207437E-11,2.181413441320795E-11,-5.3757742057593894E-14
38.002,3.086479148108299E-9,2.2121399110612405E-6,12.81780007452218,7.541808218456789E-9,9.417260492683188E-11,2.026865699286534E-11,1.6967119201322124E-11,2.2956799777629076E-11,-1.5454274144986664E-12,1.7020353394235992E-11,7.121580514920287E-11,2.1814084407364E-11,-5.323419291384954E-14
38.102000000000004,3.0558566426306152E-9,2.2121341998713682E-6,12.817766982180416,7.466982161840512E-9,9.403559240285219E-11,2.0268559175023214E-11,1.6799839923669835E-11,2.294809397142174E-11,-1.5454752791144587E-12,1.685254594233684E-11,7.108749843143042E-11,2.1814034454137662E-11,-5.27060186669913E-14
38.202000000000005,3.0258025299791463E-9,2.212128492359114E-6,12.81773391114787,7.393544972435811E-9,9.390053739230699E-11,2.0268461711922353E-11,1.6631928269300478E-11,2.2939583958572662E-11,-1.5455228686208408E-12,1.6684115917378356E-11,7.096095343373447E-11,2.181398458054318E-11,-5.2187648077856996E-14
38.30200000000001,2.995471802464742E-9,2.212122787439E-6,12.817700855134959,7.319431874934372E-9,9.376668947057478E-11,2.0268364194761857E-11,1.64728829811721E-11,2.293105850883697E-11,-1.545570568538567E-12,1.6524547487993832E-11,7.083563096173781E-11,2.1813934763300387E-11,-5.166450682174746E-14
38.402,2.966888945354547E-9,2.2121170850843535E-6,12.81766781398713,7.249589696738304E-9,9.36340217096783E-11,2.0268266715710088E-11,1.6314875212821383E-11,2.2922508601365227E-11,-1.5456182864002059E-12,1.636604672509687E-11,7.071151310831295E-11,2.181388500211034E-11,-5.117151227548096E-14
38.502,2.938696838477122E-9,2.2121113852727163E-6,12.817634787574264,7.180702316282775E-9,9.350255791243726E-11,2.0268169295724395E-11,1.6159846092398712E-11,2.2913978481475323E-11,-1.545666000853945E-12,1.6210531349848277E-11,7.058857943096193E-11,2.1813835296578394E-11,-5.068525744957268E-14
38.602000000000004,2.9110020641360193E-9,2.2121056879814646E-6,12.81760177576526,7.1130301673029105E-9,9.337228602062558E-11,2.0268071942257404E-11,1.6007561415076154E-11,2.2905477124665128E-11,-1.5457137041148768E-12,1.605776899569549E-11,7.046680889596026E-11,2.1813785646372318E-11,-5.0207580619421984E-14
38.702000000000005,2.8843720393775222E-9,2.2120999923926166E-6,12.817568773820494,7.047959732693155E-9,9.324273990672712E-11,2.0267974534529687E-11,1.585655547869177E-11,2.2896917701564952E-11,-1.5457614991362113E-12,1.5906303746996152E-11,7.034582220516218E-11,2.1813736033665936E-11,-4.974826830442378E-14
38.80200000000001,2.857511992021988E-9,2.2120942990916677E-6,12.8175357851325,6.98232723813434E-9,9.31142966600486E-11,2.0267877186929245E-11,1.5709830940596515E-11,2.2888421033080818E-11,-1.5458092844358492E-12,1.5759115929490904E-11,7.022587562696787E-11,2.1813686471365048E-11,-4.9284988894413944E-14
38.902,2.8311209013255564E-9,2.2120886092432747E-6,12.817502816449645,6.91784063862812E-9,9.298757654794299E-11,2.0267780186626324E-11,1.5562439598120938E-11,2.2880089785568667E-11,-1.5458567987253765E-12,1.5611269396183858E-11,7.010748676237441E-11,2.181363698535167E-11,-4.882979806296659E-14
39.002,2.8044911330924263E-9,2.212082921830538E-6,12.817469861879712,6.852770830837817E-9,9.286193599525456E-11,2.0267683129570817E-11,1.5422502596384934E-11,2.2871755624329404E-11,-1.5459044237555979E-12,1.5470873087245375E-11,6.999018037092504E-11,2.1813587553326395E-11,-4.8370490860461625E-14
39.102000000000004,2.779318316396464E-9,2.212077236829937E-6,12.817436921286411,6.791261082438662E-9,9.273733498346558E-11,2.0267586107798575E-11,1.528339742799079E-11,2.286339358820293E-11,-1.5459520672080777E-12,1.5331333740654222E-11,6.987394139526246E-11,2.1813538175006622E-11,-4.793631266341851E-14
39.202000000000005,2.754467412787147E-9,2.2120715542216773E-6,12.817403994555058,6.730537928293381E-9,9.261380113661868E-11,2.0267489142259655E-11,1.5146753516326178E-11,2.285504837308979E-11,-1.5459997077625629E-12,1.5194261203201243E-11,6.975875276352908E-11,2.181348885002218E-11,-4.750768687510981E-14
39.30200000000001,2.730030035554514E-9,2.2120658739857818E-6,12.817371081569888,6.670825225369856E-9,9.249132500408245E-11,2.0267392239873012E-11,1.5012389743629653E-11,2.2846728281644515E-11,-1.5460473381853278E-12,1.505947593722089E-11,6.964459672243798E-11,2.181343957805831E-11,-4.708619359126088E-14
39.402,2.7064862460885945E-9,2.2120601953529363E-6,12.817338177873271,6.61329600311787E-9,9.236949020531184E-11,2.0267295283566168E-11,1.4879087957421933E-11,2.283835322775326E-11,-1.546095058467025E-12,1.492576807007515E-11,6.953113697755838E-11,2.1813390342033114E-11,-4.6680112653243726E-14
39.502,2.6827427324494205E-9,2.2120545188753687E-6,12.817305286664977,6.555278755080179E-9,9.224864154298496E-11,2.026719838234723E-11,1.4749383722035026E-11,2.2830039567915545E-11,-1.5461427719733186E-12,1.4795654309203223E-11,6.941860197506962E-11,2.181334115432056E-11,-4.627058716817885E-14
39.602000000000004,2.659390199924081E-9,2.2120488456518704E-6,12.817272414311732,6.498216868940633E-9,9.212931791401745E-11,2.026710182152398E-11,1.4619013679572587E-11,2.2821864897967435E-11,-1.5461902182071801E-12,1.4664881484909067E-11,6.930745301604985E-11,2.1813292039731162E-11,-4.586780533642799E-14
39.702000000000005,2.6358301292664723E-9,2.2120431747258224E-6,12.817239555270605,6.440647863615643E-9,9.201096627595512E-11,2.026700520144836E-11,1.449496274694004E-11,2.281369773590757E-11,-1.5462377754446304E-12,1.4540424191126837E-11,6.91972685400475E-11,2.1813242976892963E-11,-4.5461444186820174E-14
39.80200000000001,2.613494641296876E-9,2.2120375060763194E-6,12.817206709420459,6.386071124668402E-9,9.18935360910306E-11,2.0266908614005354E-11,1.4371577280084446E-11,2.280550027841335E-11,-1.5462853515344881E-12,1.4416653484284755E-11,6.908803581261737E-11,2.1813193965539845E-11,-4.507620420033184E-14
39.902,2.5914286108019597E-9,2.2120318396857788E-6,12.817173876659416,6.332152804748032E-9,9.177705751226438E-11,2.0266812080142124E-11,1.425025355335923E-11,2.2797317107778267E-11,-1.5463329251816378E-12,1.4294949165219809E-11,6.897974040448627E-11,2.1813145005323796E-11,-4.4695611860538066E-14
40.002,2.569709084096588E-9,2.2120261755364483E-6,12.817141056884616,6.279081166435515E-9,9.166152314207436E-11,2.026671560629391E-11,1.4130841005381711E-11,2.2789155944494197E-11,-1.546380489652174E-12,1.4175162001399911E-11,6.887236719758038E-11,2.1813096095946095E-11,-4.4320996018180345E-14
40.102000000000004,2.5487457952051105E-9,2.2120205129020825E-6,12.81710824588797,6.227857394344071E-9,9.154655882250817E-11,2.0266619078777423E-11,1.40123170228941E-11,2.2780942579237624E-11,-1.5464281422525192E-12,1.4056276446429802E-11,6.876561624327046E-11,2.1813047221029967E-11,-4.395942353571782E-14
40.202000000000005,2.52760913596186E-9,2.212014852305321E-6,12.817075446697816,6.176209991999198E-9,9.14324810344684E-11,2.0266522601716846E-11,1.389684790148504E-11,2.2772788740667954E-11,-1.546475790727526E-12,1.3940442762508313E-11,6.865969229380034E-11,2.181299839244434E-11,-4.3594861023293355E-14
40.30200000000001,2.5068024465559715E-9,2.2120091947863505E-6,12.817042665341305,6.125368870569161E-9,9.131976085549812E-11,2.0266426458642776E-11,1.3780733365083457E-11,2.2764752119080382E-11,-1.5465231753430642E-12,1.3823969354922409E-11,6.855500873641772E-11,2.181294963398581E-11,-4.323598983893872E-14
40.402,2.4858154380725368E-9,2.2120035394418704E-6,12.817009896584437,6.074087139682321E-9,9.120792130597586E-11,2.0266330253988676E-11,1.3670027289947554E-11,2.2756731854330746E-11,-1.5465706711711772E-12,1.3712901298724788E-11,6.845118945164523E-11,2.1812900925159905E-11,-4.287400877720016E-14
40.502,2.465867212356005E-9,2.2119978862531933E-6,12.81697714031894,6.025343673281511E-9,9.109690348282526E-11,2.02662340794764E-11,1.3559862161577699E-11,2.2748680039731704E-11,-1.5466181862399766E-12,1.3602392105826494E-11,6.83482234430936E-11,2.181285226571639E-11,-4.252994424879361E-14
40.602000000000004,2.44614615963628E-9,2.2119922352045666E-6,12.816944396453533,5.9771553038349196E-9,9.098673918822182E-11,2.0266137956053582E-11,1.3451438853265735E-11,2.2740640533008777E-11,-1.5466656992740239E-12,1.3493628651304182E-11,6.824609865521297E-11,2.1812803655327545E-11,-4.2189798038455776E-14
40.702000000000005,2.426720182595087E-9,2.2119865862801316E-6,12.81691166489633,5.92968795146657E-9,9.087742345134604E-11,2.0266041889716514E-11,1.3344637833182246E-11,2.2732621738151124E-11,-1.5467132039934394E-12,1.3386492574473612E-11,6.814480171319495E-11,2.1812755093709916E-11,-4.185474129135865E-14
40.80200000000001,2.40793924133502E-9,2.2119809387919714E-6,12.81687894166133,5.883796743281249E-9,9.076861748398357E-11,2.0265945769889182E-11,1.32385938264415E-11,2.272455319231144E-11,-1.5467607952657418E-12,1.3280124636355744E-11,6.804406429167217E-11,2.1812706565154928E-11,-4.1530809914267335E-14
40.902,2.3890056469180517E-9,2.2119752932362737E-6,12.816846229623595,5.837532527284077E-9,9.066061331314274E-11,2.026584969624378E-11,1.3135160817154066E-11,2.271654299917607E-11,-1.5468083848082303E-12,1.3176365062963596E-11,6.794407031396685E-11,2.1812658081052032E-11,-4.1204245809548905E-14
41.002,2.3703549694369987E-9,2.211969650600708E-6,12.81681353450598,5.7919596184916766E-9,9.055382271612091E-11,2.0265753950629828E-11,1.3031105563238497E-11,2.2708630778289404E-11,-1.5468557136070242E-12,1.307198812469971E-11,6.784519193783166E-11,2.181260966423689E-11,-4.088256146121835E-14
41.102000000000004,2.351543943755312E-9,2.2119640100295143E-6,12.816780851349954,5.745994899057008E-9,9.044783478758085E-11,2.0265658141260424E-11,1.2931708704258693E-11,2.2700742851741684E-11,-1.546903153785333E-12,1.2972266815924664E-11,6.774709193583922E-11,2.1812561295045785E-11,-4.055811166600689E-14
41.202000000000005,2.3336212785336937E-9,2.211958371505874E-6,12.816748180058061,5.702200887376129E-9,9.034258420822694E-11,2.0265562359688515E-11,1.2832754209351929E-11,2.2692823414070813E-11,-1.5469506135562102E-12,1.2873003193312686E-11,6.764976079415608E-11,2.181251297324464E-11,-4.0248983960728515E-14
41.30200000000001,2.315891200630706E-9,2.2119527350156086E-6,12.816715520548152,5.658877462584956E-9,9.02381034637528E-11,2.0265466626865587E-11,1.2735283268881191E-11,2.268491510150345E-11,-1.5469980716588122E-12,1.2775226446916331E-11,6.75531883622494E-11,2.1812464698524392E-11,-3.994317803515818E-14
41.402,2.2984140590478345E-9,2.2119471005444394E-6,12.816682872737495,5.616172087398587E-9,9.013438902056876E-11,2.0265370948388817E-11,1.2639196986677981E-11,2.2677026218159867E-11,-1.5470455222263632E-12,1.267883872142988E-11,6.7457362802409E-11,2.1812416470615174E-11,-3.964173475184065E-14
41.502,2.2814904286028446E-9,2.2119414674388534E-6,12.816650232839429,5.574819216035643E-9,9.003113333982399E-11,2.026527521653548E-11,1.2543754006155975E-11,2.2669090663975408E-11,-1.5470930579071447E-12,1.2583103844397772E-11,6.736204267584874E-11,2.1812368274442585E-11,-3.9349838241816944E-14
41.602000000000004,2.2644325001946143E-9,2.2119358361711696E-6,12.816617603590718,5.533138187755277E-9,8.99286056404463E-11,2.0265179526931615E-11,1.2450572330083472E-11,2.2661211553812833E-11,-1.5471405940090957E-12,1.2489627955653718E-11,6.726739408663355E-11,2.181232012094068E-11,-3.905562557025677E-14
41.702000000000005,2.247618515598929E-9,2.2119302076817526E-6,12.816584990440122,5.49205323589793E-9,8.982716895857836E-11,2.0265084159780208E-11,1.2356789487234294E-11,2.265341502642044E-11,-1.5471878722534423E-12,1.2395555107678736E-11,6.717375393215795E-11,2.181227203203356E-11,-3.876562044444447E-14
41.80200000000001,2.230664943038102E-9,2.211924581157513E-6,12.816552388676342,5.450627201009663E-9,8.972646702920712E-11,2.0264988726853434E-11,1.226705898057136E-11,2.2645649225792548E-11,-1.5472352619918703E-12,1.2305532188490216E-11,6.708081780341454E-11,2.181222398884528E-11,-3.847320791881502E-14
41.902,2.2144733676935897E-9,2.2119189565832124E-6,12.816519798211099,5.411063105435633E-9,8.962642826303877E-11,2.0264893319515172E-11,1.217769161470127E-11,2.2637850128675588E-11,-1.5472826716422782E-12,1.2215885552708127E-11,6.698857813436304E-11,2.181217599115745E-11,-3.819393800684548E-14
42.002,2.1984512240127297E-9,2.2119133339460692E-6,12.816487218970323,5.371913015935204E-9,8.952708850512045E-11,2.026479795872277E-11,1.2089601644615287E-11,2.2630063372951987E-11,-1.5473300799548667E-12,1.2127519235094432E-11,6.689702513216834E-11,2.18121280386776E-11,-3.791759047913135E-14
42.102000000000004,2.182639470261303E-9,2.2119077132330983E-6,12.816454650878775,5.333277013983339E-9,8.942844160974282E-11,2.026470264971035E-11,1.2002692072443957E-11,2.262229143134366E-11,-1.5473774814391042E-12,1.2040336944201254E-11,6.68061501783991E-11,2.1812080131149437E-11,-3.764487175730578E-14
42.202000000000005,2.167311837695623E-9,2.2119020938219818E-6,12.816422090330564,5.295823961587317E-9,8.933020710870008E-11,2.0264607287380875E-11,1.1916336874587888E-11,2.261447524000593E-11,-1.5474249667188848E-12,1.1953717377573088E-11,6.671573186869435E-11,2.1812032254099745E-11,-3.7380502985166637E-14
42.30200000000001,2.1518705815029363E-9,2.2118964761632977E-6,12.816389539936466,5.258093269990504E-9,8.923263939076469E-11,2.026451196365302E-11,1.1831937704401729E-11,2.2606716232773197E-11,-1.547472454376902E-12,1.1869051879020191E-11,6.662592315799143E-11,2.1811984418029967E-11,-3.711417461845073E-14
42.402,2.1366292821028346E-9,2.211890861154535E-6,12.816357004896808,5.220851172584427E-9,8.913605963172757E-11,2.02644169571854E-11,1.1746997874243448E-11,2.2599028880867102E-11,-1.547519686813995E-12,1.178384916935816E-11,6.653703075086037E-11,2.181193664399944E-11,-3.685129511475359E-14
42.502,2.121271630473781E-9,2.211885248021098E-6,12.816324480723349,5.183324768641878E-9,8.904015487771173E-11,2.026432188304259E-11,1.1665592015275145E-11,2.259137642617525E-11,-1.547567030836524E-12,1.1702178424230986E-11,6.644877845153654E-11,2.181188891387904E-11,-3.6586408955821613E-14
42.602000000000004,2.1065760082483125E-9,2.2118796367491326E-6,12.816291967335811,5.147416032779097E-9,8.894485014380667E-11,2.026422683240407E-11,1.1584498343674022E-11,2.2583691120407123E-11,-1.547614395061633E-12,1.1620831284869221E-11,6.636115902339933E-11,2.1811841227465686E-11,-3.6332941195212986E-14
42.702000000000005,2.092025631067079E-9,2.2118740273269766E-6,12.81625946466662,5.111862203013448E-9,8.885018100644468E-11,2.0264131826234848E-11,1.1504501292789108E-11,2.2576016240082787E-11,-1.5476617582474777E-12,1.1540583271434512E-11,6.627416476636184E-11,2.1811793584482326E-11,-3.6081978645421405E-14
42.80200000000001,2.077659831240742E-9,2.2118684197428854E-6,12.81622697264773,5.076759387800402E-9,8.87561434344924E-11,2.0264036869438078E-11,1.1425542342425735E-11,2.256835659524737E-11,-1.5477091152470831E-12,1.1461376542109802E-11,6.618778683924487E-11,2.1811745984685184E-11,-3.58341996840478E-14
42.902,2.063716884052055E-9,2.211862813402534E-6,12.816194487835434,5.042689812516987E-9,8.866248265708077E-11,2.0263941859338354E-11,1.1347072806442448E-11,2.256065668479998E-11,-1.5477565548338358E-12,1.1382666520369607E-11,6.610182597228073E-11,2.1811698414172252E-11,-3.559371392714478E-14
43.002,2.0496697500227776E-9,2.2118572087369586E-6,12.816162012727297,5.0083656568094435E-9,8.856943143553661E-11,2.0263846884462405E-11,1.1270297980431916E-11,2.255301108606023E-11,-1.5478039985710443E-12,1.1305649411757426E-11,6.601642034947639E-11,2.1811650883033388E-11,-3.535143132546155E-14
43.102000000000004,2.0357998818744374E-9,2.2118516066046426E-6,12.816129552297621,4.974474650076345E-9,8.847727169631207E-11,2.0263752221981486E-11,1.1193009526387444E-11,2.254542257281387E-11,-1.5478511895252619E-12,1.1228121732597825E-11,6.593184912349835E-11,2.1811603411506698E-11,-3.5112206210355795E-14
43.202000000000005,2.0218250118881656E-9,2.211846006265955E-6,12.816097102260766,4.9403270714740785E-9,8.838573574795136E-11,2.0263657490047464E-11,1.1118826898624244E-11,2.2537873959048874E-11,-1.547898492124653E-12,1.1153698068818838E-11,6.584786178890265E-11,2.1811555982172106E-11,-3.4871170194550257E-14
43.30200000000001,2.008426552346192E-9,2.2118404077082117E-6,12.816064662543232,4.907587951123868E-9,8.829474523854141E-11,2.026356277964952E-11,1.1044910761660365E-11,2.2530293227159952E-11,-1.5479458151916561E-12,1.1079550837508832E-11,6.576445201138155E-11,2.1811508594841177E-11,-3.464007584848935E-14
43.402,1.995156686050536E-9,2.2118348109207333E-6,12.816032233083142,4.875163048221891E-9,8.82043359981517E-11,2.0263468111761314E-11,1.0971948137177072E-11,2.252272271903638E-11,-1.5479931374898145E-12,1.1006359336675765E-11,6.568161327911522E-11,2.181146124925124E-11,-3.44111994987084E-14
43.502,1.9820448340052715E-9,2.211829215892842E-6,12.815999813818625,4.84312425295746E-9,8.811450374631535E-11,2.0263373490983804E-11,1.0899892144055423E-11,2.2515166305156145E-11,-1.5480404541861945E-12,1.0934077192633715E-11,6.559933744115926E-11,2.1811413945170064E-11,-3.418504857830363E-14
43.602000000000004,1.9693073054429982E-9,2.211823622055776E-6,12.815967401454106,4.812000116689553E-9,8.802501606451016E-11,2.0263278816879527E-11,1.0828273765023812E-11,2.2507572957614548E-11,-1.5480878523589857E-12,1.0862239118866517E-11,6.551744310689565E-11,2.181136666923851E-11,-3.3965353842724186E-14
43.702000000000005,1.956477533464079E-9,2.211818029822615E-6,12.815934998383096,4.780650583740059E-9,8.79360887500248E-11,2.0263184174853793E-11,1.0758143117899152E-11,2.2500032225383387E-11,-1.548135256301438E-12,1.0791887186145476E-11,6.543605652464155E-11,2.1811319431155285E-11,-3.374406824632142E-14
43.80200000000001,1.9438034954171565E-9,2.2118124400161728E-6,12.815902609373218,4.749681586472772E-9,8.784797184865835E-11,2.0263089840678975E-11,1.0687537079402985E-11,2.2492538653985516E-11,-1.5481824096983828E-12,1.0721062548154935E-11,6.535543319467291E-11,2.181127225037732E-11,-3.3525468751975964E-14
43.902,1.9310355176411256E-9,2.211806851928706E-6,12.815870230323599,4.718483047586366E-9,8.776043207698166E-11,2.026299543537417E-11,1.0619676029049056E-11,2.2485087691650086E-11,-1.5482296747842401E-12,1.0652981278189556E-11,6.527534438533152E-11,2.1811225110158414E-11,-3.330524914053532E-14
